Type	Experiment	Weighted_Copy	Sporulation	Resuscitation	Toxins
Reference	Culture	6.471365639	106	840	358839
Reference	Fire	6.5	112	862	358839
Reference	Culture	6.606481481	112	862	358839
Reference	Culture	6.630434783	112	862	371708
Reference	Culture	6.643518519	113	862	371708
Reference	Fire	6.6	114	911	371708
Reference	Culture	6.676136364	117	911	378788
Reference	Culture	6.723735409	120	960	378788
Reference	Fire	6.7	123	1050	378788
Reference	Culture	6.785123967	139	1050	407227
Reference	Culture	6.84097035	155	1050	411626
Reference	Culture	6.846645367	168	1097	415448
Reference	Culture	6.868571429	196	1097	415448
Reference	Culture	6.960144928	198	1097	415448
Reference	Culture	6.981609195	198	1124	425578
Reference	Culture	7.05907173	198	1170	425578
Reference	Culture	7.245714286	216	1210.743472	425578
Reference	Culture	7.348973607	228	1222.973204	435296
Reference	Culture	7.356666667	230	1231	435296
Reference	Culture	7.382239382	234	1231	435296
Reference	Culture	7.448387097	234	1235.326469	456662
Reference	Culture	7.450160772	238	1247.804514	456662
Reference	Culture	7.478827362	239	1260.4086	456662
Reference	Culture	7.507739938	239	1264.407841	465976
Reference	Culture	7.542056075	239	1273.14	465976
Reference	Culture	7.641414141	239	1277.179637	478998
Reference	Culture	7.681697613	283	1279.575	478998
Reference	Culture	7.69023569	283.5	1286	478998
Reference	Culture	7.708683473	283.5	1290.080441	478998
Reference	Culture	7.709401709	283.6	1292.5	488718.5
Reference	Culture	7.774891775	291	1296	526123
Reference	Culture	7.82527881	339	1296	526123
Reference	Culture	7.82962963	349	1296	526123
Reference	Culture	7.830508475	349	1296	530245
Reference	Culture	7.845730028	349	1303.111557	550042
Reference	Culture	7.851936219	368.5	1316.2743	574094
Reference	Culture	7.85199241	392	1329.57	574094
Burned	Culture	7.872062663	438	1330.065	574094
Burned	Culture	7.876237624	456	1343	589497
Burned	Culture	7.879012346	493.5	1343.5	589497
Burned	Culture	8.268722467	493.8	1344	589497
Burned	Culture	8.3075	534	1385	589497
Burned	Culture	8.314814815	556	1398	589497
Burned	Culture	8.328267477	567	1636	589497
Burned	Culture	8.391447368	567	1673	609018
Burned	Culture	8.422794118	600	1856	609018
Burned	Culture	8.434108527	626	1856	609018
Burned	Culture	8.451871658	626	2065.14	609018
Burned	Fire	8.5	626	2086	609018
Burned	Culture	8.548051948	654	2231	609018
Burned	Culture	8.606177606	654	2458.309279	632071
Burned	Culture	8.62962963	658	2483.140686	633928
Burned	Culture	8.630434783	678	2508.222915	633928
Burned	Culture	8.631123919	737	2529.757161	633928
Burned	Culture	8.633587786	765	2533.5585	633928
Burned	Culture	8.658767773	765	2555.310264	633928
Burned	Culture	8.659942363	765	2559.15	633928
Burned	Culture	8.690987124	789	2581.121479	633928
Burned	Culture	8.695979899	876	2585	633928
Burned	Culture	8.714814815	876	2607.193413	633928
Burned	Culture	8.73580786	987	2633.5287	635591
Burned	Culture	8.750507099	988	2660.13	635591
Burned	Culture	8.792727273	1200	2687	638603
Burned	Culture	8.818930041	2345	3231	693663
Burned	Culture	8.822695035	2483	3231	713857
Burned	Culture	8.842217484	2483	3692	823252
Burned	Culture	8.863636364	3132	3967.530488	823252
Burned	Culture	8.876484561	3132	4007.606554	823252
Burned	Culture	8.893693694	5069	4048.087428	873293
Burned	Culture	8.8996139	5069	4088.9772	940274
Burned	Culture	8.966237942	5672	4130.28	977437
Burned	Culture	8.997830803	7069	4172	977437
Burned	Culture	9.010752688	7069	4621	977437
Burned	Culture	9.171641791	9069	5382	977437
Burned	Culture	9.229102167	9623	7630	977437
Burned	Culture	9.311614731	9623	27786	1019919
Burned	Culture	9.466453674	9876	54500	1104289
