Burned	Time_Since_Burn	Sporulation	Toxins	Rsuscitation
Reference	E_Reference	67.32	616.77	1.98
Reference	E_Reference	42.57	490.05	1.98
Reference	E_Reference	13.86	484.11	0
Reference	E_Reference	54.45	419.76	0.99
Reference	E_Reference	24.75	433.62	1.98
Reference	E_Reference	54.45	357.39	0
Reference	E_Reference	47.52	338.58	0.99
Reference	E_Reference	166.32	476.19	0
Reference	E_Reference	13.86	801.9	0.99
Reference	E_Reference	17.82	706.86	0.99
Reference	E_Reference	83.16	493.02	0.99
Reference	E_Reference	1.98	819.72	0
Reference	E_Reference	10.89	396	0
Reference	G_Reference	118.8	308.88	0.99
Reference	G_Reference	111.87	637.56	0
Reference	G_Reference	1.98	289.08	0.99
Reference	G_Reference	32.67	294.03	1.98
Reference	G_Reference	3.96	398.97	0.99
Reference	G_Reference	20.79	390.06	0
Reference	G_Reference	22.77	236.61	0
Reference	G_Reference	37.62	554.4	0
Reference	G_Reference	1.98	363.33	11.88
Reference	G_Reference	0.99	326.7	11.88
Reference	G_Reference	6.93	424.71	0
Reference	G_Reference	34.65	402.93	0.99
Reference	G_Reference	1.98	343.53	0.99
Reference	G_Reference	41.58	302.94	0
Reference	G_Reference	88.11	531.63	1.98
Reference	G_Reference	33.66	324.72	0
Reference	G_Reference	26.73	269.28	7.92
Reference	G_Reference	23.76	305.91	11.88
Reference	G_Reference	0.99	413.82	1.98
Reference	G_Reference	0.99	465.3	1.98
Reference	G_Reference	1.98	692.01	0
Reference	G_Reference	0	453.42	0.99
Reference	G_Reference	0.99	586.08	0
Burned	B_T1	2.85	514.9	0.95
Burned	B_T1	39.9	649.8	0.95
Burned	B_T1	111.15	969.95	0
Burned	B_T1	142.5	685.9	0
Burned	B_T1	31.35	481.65	0.95
Burned	B_T1	11.4	312.55	3.8
Burned	B_T1	265.05	863.55	6.65
Burned	B_T1	31.35	702.05	0
Burned	B_T1	71.25	316.35	0
Burned	B_T1	193.8	760.95	0.95
Burned	B_T1	122.55	608.95	0.95
Burned	B_T1	39.9	784.7	0
Burned	B_T1	156.75	563.35	3.8
Burned	B_T1	71.25	463.6	0.95
Burned	B_T1	156.75	724.85	3.8
Burned	B_T1	136.8	456	0.95
Burned	B_T1	478.8	534.85	0
Burned	B_T1	39.9	681.15	0.95
Burned	B_T1	51.3	761.9	1.9
Burned	H_T4	29.7	863.1	0.9
Burned	H_T4	324	446.4	0.9
Burned	H_T4	305.1	794.7	3.6
Burned	H_T4	5.4	728.1	0
Burned	H_T4	89.1	396.9	2.7
Burned	H_T4	10.8	711	3.6
Burned	H_T4	56.7	665.1	0
Burned	H_T4	62.1	613.8	1.8
Burned	H_T4	102.6	297	0.9
Burned	H_T4	5.4	454.5	0
Burned	H_T4	2.7	528.3	0
Burned	H_T4	18.9	684	1.8
Burned	H_T4	94.5	699.3	7.2
Burned	H_T4	5.4	548.1	16.2
Burned	H_T4	113.4	1034.1	0.9
